mode,a_alpha0,mean_psnr_learned,mean_psnr_cubic,mean_support_size,support_sizes,union_support_sizes,n_train_images,n_test_images,r,m
rgb,5.0,30.616506783780103,30.162299026155885,121.0,121;121;121,121;121;121,8,7,2,11
rgb,10.0,30.613949318016015,30.162299026155885,42.0,43;43;40,61;57;53,8,7,2,11
rgb,20.0,30.611230007612352,30.162299026155885,35.666666666666664,36;39;32,49;53;47,8,7,2,11
rgb,40.0,30.602380833722417,30.162299026155885,28.0,29;30;25,43;43;37,8,7,2,11
rgb,70.0,30.59067285509094,30.162299026155885,24.666666666666668,26;26;22,37;39;29,8,7,2,11
rgb,100.0,30.572127102217586,30.162299026155885,21.333333333333332,23;22;19,33;33;27,8,7,2,11
rgb,130.0,30.56647297500542,30.162299026155885,20.333333333333332,20;22;19,29;33;27,8,7,2,11
rgb,170.0,30.550777037650306,30.162299026155885,18.333333333333332,19;19;17,27;27;25,8,7,2,11
rgb,210.0,30.541636270963135,30.162299026155885,17.666666666666668,19;19;15,27;27;21,8,7,2,11
yiq-luma,5.0,30.50748040520236,30.162299026155885,121.0,121,121,8,7,2,11
yiq-luma,10.0,30.505376860615616,30.162299026155885,43.0,43,57,8,7,2,11
yiq-luma,20.0,30.504271448109893,30.162299026155885,38.0,38,53,8,7,2,11
yiq-luma,40.0,30.496935103799892,30.162299026155885,30.0,30,43,8,7,2,11
yiq-luma,70.0,30.49116350046341,30.162299026155885,27.0,27,39,8,7,2,11
yiq-luma,100.0,30.472005762377353,30.162299026155885,22.0,22,33,8,7,2,11
yiq-luma,130.0,30.466620960012815,30.162299026155885,21.0,21,29,8,7,2,11
yiq-luma,170.0,30.458054033124878,30.162299026155885,19.0,19,27,8,7,2,11
yiq-luma,210.0,30.457222297395568,30.162299026155885,19.0,19,27,8,7,2,11
yiq-all,5.0,30.616463904942822,30.162299026155885,121.0,121;121;121,121;121;121,8,7,2,11
yiq-all,10.0,30.614738418775055,30.162299026155885,40.333333333333336,43;38;40,57;49;57,8,7,2,11
yiq-all,20.0,30.613666107781132,30.162299026155885,33.333333333333336,38;31;31,53;45;39,8,7,2,11
yiq-all,40.0,30.606731318066085,30.162299026155885,26.666666666666668,30;24;26,43;37;37,8,7,2,11
yiq-all,70.0,30.596606759570456,30.162299026155885,24.0,27;22;23,39;29;33,8,7,2,11
yiq-all,100.0,30.572097104992395,30.162299026155885,20.0,22;19;19,33;27;27,8,7,2,11
yiq-all,130.0,30.56335628639193,30.162299026155885,18.666666666666668,21;17;18,29;25;25,8,7,2,11
yiq-all,170.0,30.551530370473753,30.162299026155885,17.0,19;16;16,27;25;21,8,7,2,11
yiq-all,210.0,30.549366249809776,30.162299026155885,16.333333333333332,19;15;15,27;21;21,8,7,2,11
